WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
1,1127,6162,0.01753567,0.095878262,64269,5084872131
100,244,1403,0.006219571,0.035762535,39231,5084741647
101,108,1190,0.003364067,0.037067032,32104,5084821454
102,65,1023,0.003192221,0.050240644,20362,5115112588
103,216,1001,0.006810872,0.031563347,31714,5094642537
104,0,0,0,0,70095,5094651085
105,138,2580,0.003485289,0.065159742,39595,5094622178
106,151,2648,0.004613927,0.080911785,32727,5094636813
107,872,197,0.03002548,0.006783279,29042,5094628064
108,72,392,0.003163028,0.017220929,22763,5094678522
109,155,2353,0.004018355,0.061001218,38573,5094608467
11,552,2919,0.01007943,0.053300466,54765,5115123806
110,122,1603,0.003329513,0.043747612,36642,5094605567
111,117,7,0.004622131,0.000276538,25313,5115158222
112,340,1217,0.017834662,0.0638376,19064,5115123476
113,25,261,0.001249063,0.01304022,20015,5115283463
114,85,3141,0.003282614,0.121302232,25894,5115266500
115,294,1541,0.00748625,0.039239153,39272,5102232087
116,244,2232,0.008864991,0.081092864,27524,5102213045
118,322,1175,0.009048502,0.033018603,35586,5094607415
119,212,1230,0.004691615,0.027220218,45187,5094640045
120,15,540,0.001246468,0.04487286,12034,5115264770
121,84,1303,0.004645247,0.072056628,18083,5115276152
122,25,584,0.000479285,0.011196104,52161,5094630356
125,144,1335,0.00282093,0.026152369,51047,5084888037
126,277,255,0.007200603,0.006628714,38469,5094513185
127,0,2197,0,0.048179825,45600,5094555601
128,27,1287,0.000488679,0.023293696,55251,5094503774
129,86,1180,0.001583881,0.021732324,54297,5094516467
13,21,272,0.001647705,0.021341703,12745,5115274625
130,247,2662,0.010148739,0.109376284,24338,5115207560
131,0,930,0,0.020250408,45925,5115255438
132,0,147,0,0.004440417,33105,5115145822
133,21,886,0.000608167,0.025658847,34530,5115110378
134,186,92,0.006136589,0.003035302,30310,5115132510
135,276,1034,0.010243088,0.038374467,26945,5094503415
136,68,2556,0.002447188,0.091985461,27787,5094584643
137,96,328,0.001871163,0.006393139,51305,5094506073
138,48,699,0.001274224,0.01855588,37670,5094634300
139,0,706,0,0.026076679,27074,5094600524
14,96,2890,0.002611108,0.078605233,36766,5084817164
140,14,2612,0.000347766,0.064883126,40257,5094642306
142,114,658,0.00357266,0.020621141,31909,5084828326
143,302,923,0.009427189,0.028812237,32035,5084861082
144,11,1780,0.00040168,0.064999087,27385,5094670625
145,71,1730,0.001722423,0.041968899,41221,5094666148
146,170,160,0.003336408,0.003140149,50953,5094514142
147,143,714,0.004186795,0.020904699,34155,5115137487
148,430,424,0.017816449,0.017567848,24135,5115254754
149,262,971,0.009260241,0.034319443,28293,5115288216
15,131,2415,0.005116588,0.094324884,25603,5115130458
150,92,642,0.002246587,0.015677273,40951,5115242717
151,119,234,0.002804553,0.005514836,42431,5115274627
152,63,379,0.001957312,0.01177494,32187,5115282558
153,14,8,0.000590992,0.000337709,23689,5084710451
155,192,458,0.007540353,0.017986883,25463,5115154248
156,0,764,0,0.023828088,32063,5115134181
157,102,974,0.003320637,0.031708826,30717,5115120747
158,240,1893,0.006546466,0.051635253,36661,5115110542
159,178,1157,0.005517498,0.035863736,32261,5115102688
16,133,829,0.006759504,0.042132547,19676,5115213587
160,31,2717,0.000940477,0.082428251,32962,5115187848
161,24,3406,0.000526397,0.07470445,45593,5115105770
162,280,1650,0.010469247,0.061693775,26745,5094563371
163,0,13,0,0.000690388,18830,5094674540
165,67,2059,0.003197022,0.098248795,20957,5105484444
166,0,149,0,0.004106041,36288,5105412454
167,4,67,0.000129295,0.002165692,30937,5094545646
168,226,1346,0.004414925,0.026294198,51190,5094624675
17,95,697,0.002369609,0.017385448,40091,5115221428
170,0,0,0,0,48600,5094544182
171,82,1763,0.003041994,0.065402879,26956,5094671224
172,475,1337,0.011479808,0.032312637,41377,5094634866
173,129,1177,0.003359288,0.030650243,38401,5094635152
176,46,809,0.001588837,0.027942802,28952,5115144606
